"NOMBDIST","year","month","falciparum","vivax","aet","prcp","q","soilm","tmax","tmin","water_deficit","loss","loss_km2","cum_loss_km2","diag","enviro","nets","workers","pamafro","pop2015","NOMBPROV","NOMBDEP","IDDIST"
"CONTAMANA",2010,8,0,0,104.151445024964,108.370520207694,6.20154142104132,142.09421970022,33.5900192297493,19.7709441708692,5.10597303124981,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,9,0,0,95.2477843150468,82.1161848079262,4.10674373262879,124.855491241279,34.0024855325217,20.6884200549998,16.3154142748184,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,10,0,0,106.852022924405,121.532947915138,8.12504817387502,131.411946408781,33.1058959519932,20.6561849590441,3.00732177791683,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,11,0,1,94.1662813895929,246.09730271062,98.801926616529,184.538921113648,32.5581502344797,20.6855105949505,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,12,0,1,100.252215699653,209.642967297622,106.73179154589,187.199807374693,32.4006936288293,20.9660115784074,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,1,0,0,90.1672447954299,167.080732194904,76.9140655135373,187.199807374693,31.9767437605959,20.4784778510445,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,2,0,0,65.700578024392,228.889017388081,163.189209836986,187.199807374693,31.3639691376732,20.1153950038903,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,3,0,0,66.2870907719195,206.736416208491,140.452023103747,187.199807374693,31.4623314116961,20.0000963413187,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,4,0,0,74.1714835561999,199.698651558172,125.526396823067,187.199807374693,31.817206145711,20.7805972420871,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,5,0,0,86.5310211622646,290.801541837424,204.26859342248,187.199807374693,31.8728515757302,20.22412331164,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,6,0,0,74.3959534926222,170.615028734152,96.2190750394024,187.199807374693,32.3987475709419,19.9426782347104,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,7,0,0,86.4235067202177,114.380539396135,28.1917149069681,186.964161896752,32.6178034854073,19.4162619982152,0.137379576834296,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,8,0,0,72.786897839379,24.9443159930279,1.24759152893386,137.875915321541,33.3585933508901,19.5395182846599,28.6289016892685,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,9,0,1,97.8500963038332,203.769364079529,56.9994218859369,186.792870905588,33.0013101610834,19.6872447019368,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,10,0,0,94.3044315551287,231.237957757792,136.52466301376,187.199807374693,32.3464162712612,19.8967051625481,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,11,0,2,102.908670267388,337.12986587789,234.221772857254,187.199807374693,32.4661656197785,20.5935260280249,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2011,12,0,0,87.4780345909398,366.039884563586,278.561465004276,187.199807374693,31.4744508298606,20.039768770251,0,20975494.9183237,20.9754949183237,140.847594889197,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,1,0,0,92.6955683566702,168.592485813736,75.8961465060137,187.199807374693,31.661714873562,20.1634682249242,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,2,0,0,72.7000000205802,282.283622080191,209.576878615657,187.199807374693,30.9097687899492,19.6612138968672,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,3,0,0,81.7720616658529,302.363776910741,220.593641659658,187.199807374693,31.278651217275,19.8164161671104,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,4,0,0,70.8618497830136,241.590173680888,170.727553042373,187.199807374693,31.715375694466,20.6787668533178,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,5,0,0,86.627745508918,123.598651070126,37.0678227586324,187.103082881038,31.9057995643689,20.2570519621891,0.0562620424380192,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,6,0,0,79.5951830031555,101.574373822221,23.6978805832321,185.382080960136,31.8277456140243,19.3716763310809,1.0071290949923,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,7,0,0,91.3682081924468,103.070135024701,16.5208092594882,180.565896065479,32.1276107743985,18.9260693515197,2.90828516228063,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,8,0,0,78.1194605744643,32.8333332782076,1.6391136784085,133.638150239037,33.3284200620559,19.509344894762,29.2040461869139,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,9,0,1,105.490751439207,104.931213966914,5.24739885008634,127.835452937896,33.2326782755769,19.9186127061789,6.68034682506139,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,10,0,0,106.4497110738,251.230058056311,86.9842003590799,185.630057862269,32.9793835347787,20.5296724591411,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,11,0,0,89.8710981600546,51.5568401285219,2.57822735300413,144.740076847848,33.1264354323606,21.2537957707811,24.1892100023626,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2012,12,0,0,86.8038534410657,268.087861312837,138.823892104603,187.199807374693,31.7820616448316,20.3473795686843,0,27437046.6881884,27.4370466881884,168.284641577385,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,1,0,0,88.3067436291763,337.27842039134,248.971483645871,187.199807374693,31.8246242471743,20.326358352323,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,2,0,0,69.6672447072288,268.461657309119,198.793063580875,187.199807374693,31.6936416515725,20.4450866647768,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,3,0,0,81.4088630161763,160.49075171851,79.0830443424526,187.199807374693,31.917360294761,20.4551059928703,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
